"filename", "language", "Python", "comment", "blank", "total"
"/home/jklasen/A-DRZ/argus/stella_vslam_dense_argus/VSlamProcess.py", "Python", -3, -1, -1, -5
"Total", "-", -3, -1, -1, -5
